tarif_adi,beslenme_turu,malzemeler,pisirme_suresi,ev_aletleri,kalori
Kinoa Salatası,vejetaryen beslenme,"{'kinoa': '200g', 'domates': '2 adet', 'salatalık': '1 adet', 'marul': '100g', 'maydanoz': '50g', 'limon suyu': '2 yemek kaşığı', 'zeytinyağı': '1 yemek kaşığı', 'tuz': 'yarım çay kaşığı', 'karabiber': 'çeyrek çay kaşığı'}",20 dakika,"['tencere', 'bıçak', 'rendeleme aleti']",200 kcal
Fırında Sebzeli Tofu,vegan beslenme,"{'tofu': '300g', 'patlıcan': '2 adet', 'kabak': '1 adet', 'biber': '2 adet', 'sarımsak': '3 diş', 'zeytinyağı': '2 yemek kaşığı', 'tuz': 'yarım çay kaşığı', 'kekik': '1 çay kaşığı'}",30 dakika,"['fırın', 'fırın tepsisi', 'bıçak']",250 kcal
Fırında Somon,pesketaryen beslenme,"{'somon balığı': '400g', 'limon': '1 adet', 'dereotu': '50g', 'zeytinyağı': '2 yemek kaşığı', 'tuz': 'yarım çay kaşığı', 'karabiber': 'çeyrek çay kaşığı'}",25 dakika,"['fırın', 'fırın tepsisi', 'bıçak']",300 kcal
Karnabahar Pirinç Pilavı,glutensiz beslenme,"{'karnabahar': '1 baş', 'pirinç': '1 su bardağı', 'soğan': '1 adet', 'sarımsak': '2 diş', 'zeytinyağı': '2 yemek kaşığı', 'tuz': 'yarım çay kaşığı', 'su': '2 su bardağı'}",30 dakika,"['tencere', 'bıçak', 'rendeleme aleti']",180 kcal
Keto Kırmızı Etli Sebze Güveç,ketojenik beslenme,"{'dana kuşbaşı et': '300g', 'kabak': '2 adet', 'patlıcan': '1 adet', 'domates': '2 adet', 'sarımsak': '3 diş', 'zeytinyağı': '3 yemek kaşığı', 'tuz': '1 çay kaşığı', 'karabiber': 'yarım çay kaşığı'}",40 dakika,"['fırın', 'fırın tepsisi', 'bıçak']",350 kcal
Ispanaklı ve Peynirli Omlet,vejetaryen beslenme,"{'yumurta': '3 adet', 'ıspanak': '100g', 'peynir': '50g', 'tuz': 'yarım çay kaşığı', 'karabiber': 'çeyrek çay kaşığı', 'zeytinyağı': '1 yemek kaşığı'}",15 dakika,"['tava', 'çırpma kabı', 'bıçak']",280 kcal
Vegan Mercimek Köftesi,vegan beslenme,"{'kırmızı mercimek': '1 su bardağı', 'soğan': '1 adet', 'maydanoz': '50g', 'domates salçası': '2 yemek kaşığı', 'kimyon': '1 çay kaşığı', 'tuz': 'yarım çay kaşığı', 'zeytinyağı': '2 yemek kaşığı', 'limon suyu': '1 yemek kaşığı'}",30 dakika,"['tencere', 'karıştırma kabı', 'bıçak']",220 kcal
Fırında Tavuk ve Sebzeler,paleo beslenme,"{'tavuk göğsü': '400g', 'patates': '2 adet', 'havuç': '2 adet', 'soğan': '1 adet', 'sarımsak': '3 diş', 'zeytinyağı': '3 yemek kaşığı', 'tuz': '1 çay kaşığı', 'kekik': '1 çay kaşığı'}",45 dakika,"['fırın', 'fırın tepsisi', 'bıçak']",320 kcal
Kabak Spagetti,glutensiz beslenme,"{'kabak': '2 adet', 'domates sosu': '200g', 'sarımsak': '2 diş', 'zeytinyağı': '2 yemek kaşığı', 'tuz': 'yarım çay kaşığı', 'karabiber': 'çeyrek çay kaşığı', 'rendelenmiş parmesan peyniri': '50g'}",20 dakika,"['tava', 'rendeleme aleti', 'bıçak']",180 kcal
Diyet Yoğurtlu Meyve Salatası,diyabetik beslenme,"{'yoğurt': '200g', 'çilek': '100g', 'mango': '1 adet', 'elma': '1 adet', 'ceviz': '20g', 'tarçın': 'yarım çay kaşığı'}",15 dakika,"['karıştırma kabı', 'bıçak']",150 kcal
